name_en,name_mr
Just pretense - no real deal / show off,दिखाऊपणा
Bad communication,विसंवाद
Inability in prioritization,प्राधान्य न ठरवता येणे
Unwillingness and inability to scale up,महत्त्वाकांक्षेचा व क्षमतेचा अभाव
No clarity,वैचारिक स्पष्टतेचा अभाव
Lack of adaptability,अनुकूलन क्षमता नसणे
Continuous wrong estimation of the self,सतत चुकीची स्व प्रतिमा तयार होणे / आत्मग्लानी
Isolationist behavior,माणूसघाणेपणा
Inability to differentiate immediate goals from intermediate goals - giving more importance to short-term gains than long-term consequences,तात्कालीन उद्दिष्टे व अंतिम उद्दिष्टांमध्ये फरक न करता येणे - दीर्घकालीन परिणामांपेक्षा लगेचच्या फायद्यांना अधिक महत्त्व देणे
Lack of self-respect,स्वाभिमान शून्यता
Unable to follow somebody,दुसऱ्याचे का ऐकायचे हे कधीच न समजणे
Less sensitivity / empathy,असंवेदनशीलता
Little continuity in efforts,सातत्याचा अभाव
Minimal multi-tasking,अनेक अवधाने न सांभाळता येणे
Over laziness,आळस
Little confidence,आत्मविश्वास नसणे
Over-dependence,परावलंबित्व
Fear of failure,अपयशाची भीती
Inability to say and/or accept “No”,नकार पचवणे / देणे याची क्षमता नसणे
Being too transactional,अति व्यवहारी असणे
Insecurity,असुरक्षिततेची भावना
Not being aware of social debt,समाजऋणांची जाणीव नसणे
Comforting in continuation of old,जुने चालू ठेवण्यात समाधानी असणे
Ineffectiveness,अकार्यक्षमता
Less sustenance of enthusiasm,उत्साह न टिकणे
Patchy emotion-management,भावनिक कुव्यवस्थापन
Impatience,संयम नसणे
Tendency to avoid conflict,संघर्ष टाळण्याची वृत्ती
Self-centredness,आत्मकेंद्रितता
Inability to differentiate between weakness of a person and the person herself,दुर्गुण आणि व्यक्तींमध्ये फरक न करता येणे
Imbalance in employing strengths,स्वतःचे गुण समतोलपणे वापरता न येणे
Indecisiveness,निर्णयअक्षमता
Defeated mindset,पराभूत मानसिकता
Unappreciative nature,इतरांचे गुण स्वीकारता न येणे
Little self-reflection,"स्वतःमध्ये डोकवायला न जमणे, उपासना न जमणे"
